category	remark	mode	qualifier_type	display_text	value	rationale
age_contraindication	1개월 이하(1%) (전신마취), 36개월 미만(2%) (전신마취)	review_required	indication	전신마취		현재 앱 입력에 없는 임상 맥락/적응증/상대 용량 조건
age_contraindication	구강용 액제, 구강용 스프레이제	informational	source_note	구강용 액제, 구강용 스프레이제		구조화 필드·정확한 품목/성분 근거와 중복되거나 판정 비실행 비고
age_contraindication	구강용액제(2%)	informational	source_note	구강용액제(2%)		구조화 필드·정확한 품목/성분 근거와 중복되거나 판정 비실행 비고
age_contraindication	다만, '주요 우울장애의 치료'에 한함	review_required	indication	주요 우울장애의 치료에 한함		현재 앱 입력에 없는 임상 맥락/적응증/상대 용량 조건
age_contraindication	다만, 다른 약을 사용할 수 없거나 효과가 없는 경우에만 8세 이상 신중투여	review_required	clinical_context	다른 약을 사용할 수 없거나 효과가 없는 경우에만 8세 이상 신중투여		현재 앱 입력에 없는 임상 맥락/적응증/상대 용량 조건
age_contraindication	점안제(0.125%)	informational	source_note	점안제(0.125%)		구조화 필드·정확한 품목/성분 근거와 중복되거나 판정 비실행 비고
age_contraindication	점안제(1%)	informational	source_note	점안제(1%)		구조화 필드·정확한 품목/성분 근거와 중복되거나 판정 비실행 비고
age_contraindication	질용좌제, 외용액제, 연고제	informational	source_note	질용좌제, 외용액제, 연고제		구조화 필드·정확한 품목/성분 근거와 중복되거나 판정 비실행 비고
combination_contraindication	24시간 이내 병용금기	interaction_window	timing	24시간 이내 병용금기	24	REMARK에만 있는 명시적 병용 간격을 수동 구조화
combination_contraindication	48시간 이내 병용금기	interaction_window	timing	48시간 이내 병용금기	48	REMARK에만 있는 명시적 병용 간격을 수동 구조화
combination_contraindication	methotrexate (1週에 15mg 이상 투여시)	review_required	dose_context	메토트렉세이트 주 15mg 이상 투여 시		현재 앱 입력에 없는 임상 맥락/적응증/상대 용량 조건
combination_contraindication	methotrexate 1週에 15mg 이상 투여시	review_required	dose_context	메토트렉세이트 주 15mg 이상 투여 시		현재 앱 입력에 없는 임상 맥락/적응증/상대 용량 조건
