observed_name	base_name	base_unii	relation_type	qualifier	review_basis	reviewed_at
Metformin Hydrochloride with Colloidal Anhydrous Silica	Metformin Hydrochloride	786Z46389E	formulation_of	colloidal_anhydrous_silica	Source explicitly names metformin hydrochloride with a silica carrier; the base is locally exact-resolved to the pinned UNII, and this row is reviewed as a non-identity prepared material relation rather than a generic with-clause rule	2026-08-13
Meropenem Dried Sodium Carbonate	Meropenem	FV9J3JU8B1	formulation_of	dried_sodium_carbonate	Source explicitly names meropenem with dried sodium carbonate; the base is locally exact-resolved to the pinned UNII, and the full source string is reviewed without adding a generic additive-stripping rule	2026-08-13
Meropenem Hydrate Dried Sodium Carbonate	Meropenem Hydrate	FV9J3JU8B1	formulation_of	dried_sodium_carbonate	Source explicitly names hydrated meropenem with dried sodium carbonate; the reviewed local base resolves to the pinned UNII and remains distinct from the prepared material node	2026-08-13
Ceftazidime Hydrate Dried Sodium Carbonate	Ceftazidime Hydrate	9M416Z9QNR	formulation_of	dried_sodium_carbonate	Source explicitly names hydrated ceftazidime with dried sodium carbonate; the reviewed hydrated base resolves to the pinned UNII and no generic matrix rule is inferred	2026-08-13
Ceftazidime·Dried Sodium Carbonate	Ceftazidime	9M416Z9QNR	formulation_of	dried_sodium_carbonate	Source explicitly composes ceftazidime with dried sodium carbonate; the base is locally exact-resolved to the pinned UNII and the middle-dot expression is preserved verbatim	2026-08-13
Cobicistat Silicone Dioxide	Cobicistat	LW2E03M5PG	formulation_of	silicone_dioxide	Source explicitly names a cobicistat/silica prepared material; the base is locally exact-resolved to the pinned UNII and the source spelling is preserved without generic additive normalization	2026-08-13
Dapagliflozin Anhydrous Lactose Mixture	Dapagliflozin	1ULL0QJ8UC	formulation_of	anhydrous_lactose_mixture	Source explicitly declares a dapagliflozin/lactose mixture; the base is locally exact-resolved to the pinned UNII and the mixture remains a separate local node	2026-08-13
Anidulafungin Fructose Mixture	Anidulafungin	9HLM53094I	formulation_of	fructose_mixture	Source explicitly declares an anidulafungin/fructose mixture; the base is locally exact-resolved to the pinned UNII and no generic mixture stripping is inferred	2026-08-13
Cefotiam Hydrochloride·Dried Sodium Carbonate	Cefotiam Hydrochloride	H7V12WDZ93	formulation_of	dried_sodium_carbonate	Source explicitly composes cefotiam hydrochloride with dried sodium carbonate; the base is locally exact-resolved to the pinned UNII and the full source expression is reviewed verbatim	2026-08-13
Cefpirome Sulfate·Dried Sodium Carbonate	Cefpirome Sulfate	BA5ALU2ZT9	formulation_of	dried_sodium_carbonate	Source explicitly composes cefpirome sulfate with dried sodium carbonate; the base is locally exact-resolved to the pinned UNII and the full source expression is reviewed verbatim	2026-08-13
